,Statistic,Year,UNIT,VALUE,County_name,per_10k,per_10k_vehicles,per_1b_km_travelled,avg_per_1k_km_travelled
218,Persons Killed,2009,Number,4.0,Wexford,0.2859369080212451,0.45770692644077554,2.49402473241193,0.21807080031983717
219,Persons Killed,2009,Number,4.0,Wicklow,0.3019756758593095,0.5219694778347836,3.0876109610189117,0.23668872474087518
220,Persons Killed,2009,Number,7.0,Clare,0.6103036696687795,1.0173284953711552,5.574727900185824,0.3835441304050044
221,Persons Killed,2009,Number,21.0,Cork,0.4856625477857257,0.6967546715741789,4.098493966106106,1.2352214575613198
222,Persons Killed,2009,Number,12.0,Kerry,0.8377840611582366,1.3651488865504393,7.83716120605203,0.6891402974788952
223,Persons Killed,2009,Number,22.0,Limerick,1.1658285066266751,2.070273229014566,11.592166505664355,1.2323549182164464
224,Persons Killed,2009,Number,12.0,Tipperary,0.7748534235607097,1.2449811696598088,6.72645739910314,0.32400907225402314
225,Persons Killed,2009,Number,3.0,Waterford,0.2691524389696845,0.45881381335454074,2.7472527472527473,0.1796891377916205
226,Persons Killed,2009,Number,23.0,Galway,0.9465332192006322,1.7259233690024163,9.34199837530463,1.245071591616518
227,Persons Killed,2009,Number,0.0,Leitrim,0.0,0.0,0.0,0.0
228,Persons Killed,2009,Number,10.0,Mayo,0.7822155473162183,1.2825692427069906,6.813536225300931,0.5314767080332705
229,Persons Killed,2009,Number,4.0,Roscommon,0.6460052649429092,1.057585532229919,5.364327223960662,0.20283632798634238
230,Persons Killed,2009,Number,7.0,Sligo,1.100957833314984,1.9318160911081264,10.74718526100307,0.3894658753709199
231,Persons Killed,2009,Number,9.0,Cavan,1.2947591028758039,2.310634911126135,11.976047904191617,0.46657104840242614
232,Persons Killed,2009,Number,14.0,Donegal,0.9005300262440179,1.6970931219240188,9.041007426541814,0.7456128671477645
